DateTime,Seq Count,Timestamp 1,Timestamp 2,FP Temp,DIBTemp,HVTemp,HVVolts,HVCurrent,Amps_1v5,Amps_3v3_D,Amps_3v3_A,phRate,goodCmdCount,errorCount,HeaterPWM,HeaterAccum,sysError
2025-03-16_17-34-42,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-35-42,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-36-43,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-37-42,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-38-42,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-39-42,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-40-42,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-41-42,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-42-42,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-43-42,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-44-41,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-45-41,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-46-41,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-47-41,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-48-41,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-49-40,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-50-40,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-51-40,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-52-40,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-53-40,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-54-39,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-55-39,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-56-39,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-57-41,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-58-40,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_17-59-40,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-00-40,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-01-40,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-02-40,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-03-40,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-04-39,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-05-39,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-06-39,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-07-39,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-08-39,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-09-38,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-10-38,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-11-38,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-12-38,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-13-37,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-14-37,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-15-37,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-16-37,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-17-37,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-18-36,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-19-36,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-20-36,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-21-36,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-22-35,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-23-35,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-24-35,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-25-35,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-26-35,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-27-35,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-28-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-29-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-30-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-31-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-32-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-33-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-34-35,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-35-35,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-36-35,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-37-35,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-38-35,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-39-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-40-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-41-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-42-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-43-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-44-34,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-45-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-46-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-47-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-48-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-49-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-50-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-51-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-52-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-53-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-54-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-55-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-56-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-57-33,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-58-32,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_18-59-32,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-00-32,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-01-32,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-02-31,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-03-31,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-04-31,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-05-31,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-06-31,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-07-31,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-08-30,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-09-30,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-10-30,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-11-30,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-12-29,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-13-29,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-14-29,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-15-29,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-16-29,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-17-28,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-18-28,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-19-28,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-20-28,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
2025-03-16_19-21-28,49155,0,14,21729,44561,27101,1038,3428,28055,36127,36949,0,0,0,0,65432,111
