reg_addr,data,name
0x00e2,0x0001,asic_icomp
0x00e4,0x0004,asic_ireq
0x010a,0x0002,asic_tpeak
0x010c,0x0001,asic_io
0x010e,0x000f,asic_rdelay
0x0110,0x0003,asic_gain
0x0112,0x0000,asic_spy
0x0114,0x0003,asic_vref2p
0x0116,0x0000,asic_tune
0x0118,0x892b,asic_alimon0
0x011a,0x6424,asic_alimon1
0x0106,0x0000,asic_seltest0
0x0108,0x0000,asic_seltest1
0x00e6,0x3d3d,asic_threshold1
0x00e8,0x1d3f,asic_threshold2
0x00ea,0x3d3f,asic_threshold3
0x00ec,0x3f3f,asic_threshold4
0x00ee,0x3f3d,asic_threshold5
0x00f0,0x1d3f,asic_threshold6
0x00f2,0x3f3f,asic_threshold7
0x00f4,0x3d3f,asic_threshold8
0x00f6,0x3f3f,asic_threshold9
0x00f8,0x3f3d,asic_threshold10
0x00fa,0x1d3f,asic_threshold11
0x00fc,0x3f3f,asic_threshold12
0x00fe,0x3f3f,asic_threshold13
0x0100,0x3f3d,asic_threshold14
0x0102,0x3d3f,asic_threshold15
0x0104,0x3f1d,asic_threshold16
