reg_addr,data,name
0x0062,0x0001,asic_icomp
0x0064,0x0004,asic_ireq
0x008a,0x0002,asic_tpeak
0x008c,0x0001,asic_io
0x008e,0x000f,asic_rdelay
0x0090,0x0003,asic_gain
0x0092,0x0000,asic_spy
0x0094,0x0003,asic_vref2p
0x0096,0x0000,asic_tune
0x0098,0x892b,asic_alimon0
0x009a,0x6424,asic_alimon1
0x0086,0x0000,asic_seltest0
0x0088,0x0000,asic_seltest1
0x0066,0x3f3f,asic_threshold1
0x0068,0x1d3f,asic_threshold2
0x006a,0x3f3f,asic_threshold3
0x006c,0x3f3f,asic_threshold4
0x006e,0x3f3f,asic_threshold5
0x0070,0x1d3f,asic_threshold6
0x0072,0x3f3f,asic_threshold7
0x0074,0x3f3f,asic_threshold8
0x0076,0x3f3f,asic_threshold9
0x0078,0x3f3f,asic_threshold10
0x007a,0x1d3f,asic_threshold11
0x007c,0x3f3f,asic_threshold12
0x007e,0x3f3f,asic_threshold13
0x0080,0x3f3f,asic_threshold14
0x0082,0x3f3f,asic_threshold15
0x0084,0x3f1d,asic_threshold16
